die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,material,structure,design
1,264,15680.0,-2630.0,16,15,1,1,264,unknown,cross_bridge,crossbridge2019
1,265,19807.5,-2630.0,16,16,1,1,265,unknown,cross_bridge,crossbridge2019
1,266,23935.0,-2630.0,16,17,1,1,266,unknown,cross_bridge,crossbridge2019
1,267,28062.5,-2630.0,16,18,1,1,267,unknown,cross_bridge,crossbridge2019
1,268,32190.0,-2630.0,16,19,1,1,268,unknown,cross_bridge,crossbridge2019
1,269,36317.5,-2630.0,16,20,1,1,269,unknown,cross_bridge,crossbridge2019
1,270,40445.0,-2630.0,16,21,1,1,270,unknown,cross_bridge,crossbridge2019
1,271,-42105.0,-5780.0,17,1,1,1,271,unknown,cross_bridge,crossbridge2019
1,272,-37977.5,-5780.0,17,2,1,1,272,unknown,cross_bridge,crossbridge2019
1,273,-33850.0,-5780.0,17,3,1,1,273,unknown,cross_bridge,crossbridge2019
1,274,-29722.5,-5780.0,17,4,1,1,274,unknown,cross_bridge,crossbridge2019
1,275,-25595.0,-5780.0,17,5,1,1,275,unknown,cross_bridge,crossbridge2019
1,276,-21467.5,-5780.0,17,6,1,1,276,unknown,cross_bridge,crossbridge2019
1,277,-17340.0,-5780.0,17,7,1,1,277,unknown,cross_bridge,crossbridge2019
1,278,-13212.5,-5780.0,17,8,1,1,278,unknown,cross_bridge,crossbridge2019
1,279,-9085.0,-5780.0,17,9,1,1,279,unknown,cross_bridge,crossbridge2019
1,280,-4957.5,-5780.0,17,10,1,1,280,unknown,cross_bridge,crossbridge2019
1,281,-830.0,-5780.0,17,11,1,1,281,unknown,cross_bridge,crossbridge2019
1,282,3297.5,-5780.0,17,12,1,1,282,unknown,cross_bridge,crossbridge2019
1,283,7425.0,-5780.0,17,13,1,1,283,unknown,cross_bridge,crossbridge2019
1,284,11552.5,-5780.0,17,14,1,1,284,unknown,cross_bridge,crossbridge2019
1,285,15680.0,-5780.0,17,15,1,1,285,unknown,cross_bridge,crossbridge2019
1,286,19807.5,-5780.0,17,16,1,1,286,unknown,cross_bridge,crossbridge2019
1,287,23935.0,-5780.0,17,17,1,1,287,unknown,cross_bridge,crossbridge2019
1,288,28062.5,-5780.0,17,18,1,1,288,unknown,cross_bridge,crossbridge2019
1,289,32190.0,-5780.0,17,19,1,1,289,unknown,cross_bridge,crossbridge2019
1,290,36317.5,-5780.0,17,20,1,1,290,unknown,cross_bridge,crossbridge2019
1,291,40445.0,-5780.0,17,21,1,1,291,unknown,cross_bridge,crossbridge2019
1,292,-42105.0,-8930.0,18,1,1,1,292,unknown,cross_bridge,crossbridge2019
1,293,-37977.5,-8930.0,18,2,1,1,293,unknown,cross_bridge,crossbridge2019
1,294,-33850.0,-8930.0,18,3,1,1,294,unknown,cross_bridge,crossbridge2019
1,295,-29722.5,-8930.0,18,4,1,1,295,unknown,cross_bridge,crossbridge2019
1,296,-25595.0,-8930.0,18,5,1,1,296,unknown,cross_bridge,crossbridge2019
1,297,-21467.5,-8930.0,18,6,1,1,297,unknown,cross_bridge,crossbridge2019
1,298,-17340.0,-8930.0,18,7,1,1,298,unknown,cross_bridge,crossbridge2019
1,299,-13212.5,-8930.0,18,8,1,1,299,unknown,cross_bridge,crossbridge2019
1,300,-9085.0,-8930.0,18,9,1,1,300,unknown,cross_bridge,crossbridge2019
1,301,-4957.5,-8930.0,18,10,1,1,301,unknown,cross_bridge,crossbridge2019
1,302,-830.0,-8930.0,18,11,1,1,302,unknown,cross_bridge,crossbridge2019
1,303,3297.5,-8930.0,18,12,1,1,303,unknown,cross_bridge,crossbridge2019
1,304,7425.0,-8930.0,18,13,1,1,304,unknown,cross_bridge,crossbridge2019
1,305,11552.5,-8930.0,18,14,1,1,305,unknown,cross_bridge,crossbridge2019
1,306,15680.0,-8930.0,18,15,1,1,306,unknown,cross_bridge,crossbridge2019
1,307,19807.5,-8930.0,18,16,1,1,307,unknown,cross_bridge,crossbridge2019
1,308,23935.0,-8930.0,18,17,1,1,308,unknown,cross_bridge,crossbridge2019
1,309,28062.5,-8930.0,18,18,1,1,309,unknown,cross_bridge,crossbridge2019
1,310,32190.0,-8930.0,18,19,1,1,310,unknown,cross_bridge,crossbridge2019
1,311,36317.5,-8930.0,18,20,1,1,311,unknown,cross_bridge,crossbridge2019
1,312,40445.0,-8930.0,18,21,1,1,312,unknown,cross_bridge,crossbridge2019
1,313,-42105.0,-12080.0,19,1,1,1,313,unknown,cross_bridge,crossbridge2019
1,314,-37977.5,-12080.0,19,2,1,1,314,unknown,cross_bridge,crossbridge2019
1,315,-33850.0,-12080.0,19,3,1,1,315,unknown,cross_bridge,crossbridge2019
