wafer_idx,die,block,block_idx_in_die,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,event_counter,__pin_variation_object,__curr_variation_object
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,-1.3710727937729872e-07,9.93e-06,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,6.774496404620947e-07,4.999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,1.358942659136394e-06,9.999e-05,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.610003479507605e-06,0.00049971,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1357849398067456e-05,0.0009996599999999999,False,19,12,8,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,5.403423610848028e-08,9.93e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,5.498994368590876e-07,4.999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,8.902783663587619e-07,0.00010004,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.770635868483155e-06,0.0004997199999999999,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.0858675978779595e-05,0.00099968,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,3.8742914869617485e-07,9.96e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,6.675249848503363e-07,4.9999999999999996e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.1538331098266538e-06,9.999999999999999e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.533546873313294e-06,0.00049971,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1482458962970686e-05,0.00099965,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,3.4405472787440186e-07,9.93e-06,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,3.929428462582636e-07,4.997e-05,False,19,12,9,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.0126824522371556e-06,9.999e-05,False,19,12,9,structure,material
